,0
0,New Hampshire
1,Arkansas
2,Tennessee
3,Texas
4,Maine
5,West Virginia
6,Maryland
7,Arizona
8,Indiana
9,Florida
10,New Jersey
11,Connecticut
12,Kentucky
13,New York
14,Louisiana
15,Minnesota
16,North Dakota
17,Montana
18,South Dakota
19,Delaware
20,Vermont
21,Missouri
22,Wisconsin
23,Wyoming
24,Utah
25,Massachusetts
26,Alaska
27,Kansas
28,New Mexico
29,Colorado
30,North Carolina
31,Virginia
32,Idaho
33,South Carolina
34,Oregon
35,California
36,Nebraska
37,Hawaii
38,Nevada
39,Alabama
40,Michigan
41,Mississippi
42,Rhode Island
43,Pennsylvania
44,Washington
45,Georgia
46,Iowa
47,Oklahoma
48,Illinois
